 MHD solution=           40
 xi=    4.0000000000000001E-002
 ep=   2.9999999999999999E-002
 alpha_m=   2.0000000000000000     
 alpha_v=   1.1844120000000000     
 chi_m=   1.4266669999999999     
 mu=  0.35070800000000002     
 p= Rm.ep=   1.1000001000000001     
 q=   1.7936099999999999     
 ms=   1.3028530000000000     
 delta_o=  0.99269770000000002     
  ur > 0  from i=           97      y_h=   2.8502999999999997E-002
 idealMHD from i=          122      y_id=   3.6003000000000000E-002
 super-SM from i=          288      y_SM=   4.9622999999999994E-002
 super-A  from i=         2568      y_A=  0.73479299999999992     
 super-FM from i=         3139      y_FM=   244.36866000000001     
 Total number of points N=         3139
 0.0000000D+00 0.9004565D+02 0.1000000D+01 0.3854788D+19 -.1165532D+01 0.2960225D+02 0.0000000D+00 0.4842000D+02 -.0000000D+00 0.0000000D+00 0.4762860D+03 -.9589041D+03
 0.3000000D-05 0.9004548D+02 0.1000000D+01 0.3854788D+19 -.1165532D+01 0.2960225D+02 -.3356733D-05 0.4842000D+02 0.5063396D-01 -.8542713D-01 0.4762860D+03 -.9589041D+03
 0.3030000D-03 0.9002828D+02 0.1000002D+01 0.3854494D+19 -.1165760D+01 0.2960215D+02 -.3390989D-03 0.4841755D+02 0.5114837D+01 -.8628525D+01 0.4762869D+03 -.9587212D+03
 0.6030000D-03 0.9001108D+02 0.1000006D+01 0.3853607D+19 -.1166438D+01 0.2960187D+02 -.6752397D-03 0.4841012D+02 0.1018372D+02 -.1717384D+02 0.4762898D+03 -.9581758D+03
 0.9030000D-03 0.8999388D+02 0.1000014D+01 0.3852132D+19 -.1167566D+01 0.2960139D+02 -.1012174D-02 0.4839778D+02 0.1526191D+02 -.2572354D+02 0.4762945D+03 -.9572700D+03
 0.1203000D-02 0.8997669D+02 0.1000026D+01 0.3850066D+19 -.1169143D+01 0.2960073D+02 -.1350296D-02 0.4838048D+02 0.2035406D+02 -.3427982D+02 0.4763010D+03 -.9560069D+03
 0.1503000D-02 0.8995949D+02 0.1000040D+01 0.3847408D+19 -.1171171D+01 0.2959987D+02 -.1690001D-02 0.4835823D+02 0.2546487D+02 -.4284481D+02 0.4763095D+03 -.9543877D+03
 0.1803000D-02 0.8994229D+02 0.1000058D+01 0.3844153D+19 -.1173650D+01 0.2959882D+02 -.2031690D-02 0.4833098D+02 0.3059909D+02 -.5142069D+02 0.4763200D+03 -.9524161D+03
 0.2103000D-02 0.8992510D+02 0.1000079D+01 0.3840300D+19 -.1176580D+01 0.2959757D+02 -.2375756D-02 0.4829870D+02 0.3576149D+02 -.6000956D+02 0.4763323D+03 -.9500967D+03
 0.2403000D-02 0.8990790D+02 0.1000103D+01 0.3835842D+19 -.1179964D+01 0.2959612D+02 -.2722599D-02 0.4826135D+02 0.4095695D+02 -.6861353D+02 0.4763467D+03 -.9474330D+03
 0.2703000D-02 0.8989070D+02 0.1000130D+01 0.3830775D+19 -.1183800D+01 0.2959447D+02 -.3072615D-02 0.4821888D+02 0.4619034D+02 -.7723465D+02 0.4763631D+03 -.9444321D+03
 0.3003000D-02 0.8987350D+02 0.1000161D+01 0.3825093D+19 -.1188088D+01 0.2959260D+02 -.3426205D-02 0.4817122D+02 0.5146672D+02 -.8587494D+02 0.4763815D+03 -.9411009D+03
 0.3303000D-02 0.8985631D+02 0.1000195D+01 0.3818789D+19 -.1192831D+01 0.2959052D+02 -.3783765D-02 0.4811832D+02 0.5679119D+02 -.9453640D+02 0.4764020D+03 -.9374442D+03
 0.3603000D-02 0.8983911D+02 0.1000233D+01 0.3811855D+19 -.1198027D+01 0.2958821D+02 -.4145698D-02 0.4806010D+02 0.6216897D+02 -.1032210D+03 0.4764247D+03 -.9334730D+03
 0.3903000D-02 0.8982191D+02 0.1000273D+01 0.3804283D+19 -.1203678D+01 0.2958567D+02 -.4512397D-02 0.4799649D+02 0.6760535D+02 -.1119305D+03 0.4764496D+03 -.9291943D+03
 0.4203000D-02 0.8980471D+02 0.1000318D+01 0.3796064D+19 -.1209782D+01 0.2958290D+02 -.4884253D-02 0.4792739D+02 0.7310582D+02 -.1206668D+03 0.4764767D+03 -.9246183D+03
 0.4503000D-02 0.8978752D+02 0.1000366D+01 0.3787187D+19 -.1216337D+01 0.2957988D+02 -.5261665D-02 0.4785271D+02 0.7867597D+02 -.1294315D+03 0.4765062D+03 -.9197569D+03
 0.4803000D-02 0.8977032D+02 0.1000417D+01 0.3777643D+19 -.1223344D+01 0.2957660D+02 -.5645021D-02 0.4777234D+02 0.8432153D+02 -.1382265D+03 0.4765381D+03 -.9146194D+03
 0.5103000D-02 0.8975312D+02 0.1000472D+01 0.3767418D+19 -.1230800D+01 0.2957306D+02 -.6034700D-02 0.4768617D+02 0.9004844D+02 -.1470531D+03 0.4765725D+03 -.9092192D+03
 0.5403000D-02 0.8973593D+02 0.1000531D+01 0.3756500D+19 -.1238701D+01 0.2956925D+02 -.6431081D-02 0.4759407D+02 0.9586276D+02 -.1559127D+03 0.4766094D+03 -.9035698D+03
 0.5703000D-02 0.8971873D+02 0.1000593D+01 0.3744875D+19 -.1247045D+01 0.2956515D+02 -.6834525D-02 0.4749590D+02 0.1017708D+03 -.1648069D+03 0.4766491D+03 -.8976844D+03
 0.6003000D-02 0.8970153D+02 0.1000659D+01 0.3732528D+19 -.1255825D+01 0.2956075D+02 -.7245389D-02 0.4739153D+02 0.1077789D+03 -.1737367D+03 0.4766915D+03 -.8915792D+03
 0.6303000D-02 0.8968434D+02 0.1000729D+01 0.3719443D+19 -.1265036D+01 0.2955603D+02 -.7664012D-02 0.4728080D+02 0.1138937D+03 -.1827030D+03 0.4767368D+03 -.8852691D+03
